year,registrations,absolute_change,percentage_change
2015,224111,,
2016,239538,15427,6.883642480734986
2017,264654,25116,10.485183979159874
2018,310610,45956,17.36455900912135
2019,313546,2936,0.945236792118731
2020,256949,-56597,-18.050620961517605
2021,255448,-1501,-0.5841626159276747
2022,270732,15284,5.983213804766518
2023,310958,40226,14.858236189294205
2024,316880,5922,1.9044372551920263
2025,351637,34757,10.96850542792225
