cluster,observations,mean_power_kw,mean_displacement_cc,mean_normalised_co2,mean_consumption_wh_km,mean_wheelbase_mm,cluster_label,cluster_share,propulsion_share_petrol,propulsion_share_diesel,propulsion_share_hybrid,propulsion_share_electric,ownership_share_individual,ownership_share_legal_entity,renting_share_no,renting_share_yes
1,165153,132.8813578923786,1791.7459809994368,-1.9408526082439046,179.70084103830993,2763.297941908412,Business-oriented hybrid vehicles,0.05429862021870949,6.054991432187124e-6,1.816497429656137e-5,0.9984680871676567,0.0015076928666145938,0.23856666242817268,0.7614333375718273,0.40658661967993315,0.5934133803200669
2,1343425,86.24407157079854,1494.955522638034,-0.008647357580763829,8.58254089361148e-4,2630.1754307088227,Company and renting vehicles,0.441688155027882,0.25952769972272366,0.5236429275917897,0.21682937268548672,0,0,1,0.12157731172190483,0.8784226882780952
3,482263,143.16560063699683,2182.3472109616537,0.9377178945243957,0.01904562448290667,2818.0099758845276,Higher-power vehicles,0.1585573103881582,0.07947945415675679,0.5679141879016222,0.35260635794162104,0,0.14388207264500905,0.8561179273549909,0.4161629650211607,0.5838370349788393
4,954647,87.68551666741739,1423.9407697295442,0.14757154903416572,0.005649208555623163,2616.024172285672,Privately owned conventional vehicles,0.3138666260735824,0.5487766682344364,0.2000676689917844,0.2511556627737792,0,0.8279112593450773,0.17208874065492272,1,0
5,96081,147.576135135979,0.3366950801927538,-2.710714115293659,161.5852457822046,2702.4718830986353,Electric vehicles,0.031589288291667884,0,0,5.203942506843184e-4,0.9994796057493157,0.3785660016028143,0.6214339983971857,0.6078621163393387,0.3921378836606613
