position,municipality_name,registrations,share_of_total,cumulative_share
98,Valdeolmos-Alalpardo,773,2.481490743525893e-4,0.994848258285627
99,Los Molinos,760,2.4397580402065705e-4,0.9950922340896476
100,Villa del Prado,730,2.3434518017773637e-4,0.9953265792698254
101,Chinchón,680,2.1829414043953525e-4,0.9955448734102649
102,Valdetorres de Jarama,662,2.1251576613378286e-4,0.9957573891763987
103,Quijorna,634,2.0352718388039022e-4,0.9959609163602791
104,Talamanca de Jarama,598,1.919704352688854e-4,0.9961528867955479
105,Chapinería,450,1.444593576438101e-4,0.9962973461531918
106,Los Santos de la Humosa,440,1.4124914969616988e-4,0.9964385953028879
107,Fresno de Torote,428,1.373969001590016e-4,0.9965759922030469
108,Navalagamella,398,1.2776627631608093e-4,0.996703758479363
109,La Cabrera,397,1.274452555213169e-4,0.9968312037348843
110,Aldea del Fresno,393,1.261611723422608e-4,0.9969573649072266
111,Bustarviejo,382,1.2262994359985656e-4,0.9970799948508264
112,Villar del Olmo,382,1.2262994359985656e-4,0.9972026247944263
113,Batres,373,1.1974075644698036e-4,0.9973223655508733
114,Villaconejos,349,1.1203625737264382e-4,0.9974344018082459
115,Villamanta,328,1.0529482068259935e-4,0.9975396966289285
116,Valdilecha,325,1.0433175829830729e-4,0.9976440283872269
117,Tielmes,317,1.0176359194019511e-4,0.997745791979167
118,Perales de Tajuña,310,9.951644637684696e-5,0.9978453084255439
119,Cadalso de los Vidrios,308,9.887440478731891e-5,0.9979441828303312
120,El Vellón,273,8.763867697057812e-5,0.9980318215073017
121,Villamantilla,270,8.667561458628606e-5,0.998118497121888
122,Fuentidueña de Tajo,269,8.635459379152204e-5,0.9982048517156796
123,Pelayos de la Presa,261,8.378642743340985e-5,0.998288638143113
124,Anchuelo,245,7.86500947171855e-5,0.9983672882378302
125,Valdeavero,232,7.44768243852532e-5,0.9984417650622154
126,Belmonte de Tajo,229,7.351376200096114e-5,0.9985152788242164
127,Navalafuente,225,7.222967882190505e-5,0.9985875085030383
128,Rascafría,210,6.741436690044471e-5,0.9986549228699387
129,Zarzalejo,200,6.420415895280449e-5,0.9987191270288915
130,Carabaña,199,6.388313815804047e-5,0.9987830101670496
131,Fresnedillas de la Oliva,196,6.29200757737484e-5,0.9988459302428233
132,Lozoyuela-Navas-Sieteiglesias,194,6.227803418422036e-5,0.9989082082770075
133,Pozuelo del Rey,193,6.195701338945632e-5,0.9989701652903971
134,Santa María de la Alameda,193,6.195701338945632e-5,0.9990321223037865
135,Cabanillas de la Sierra,181,5.810476385228806e-5,0.9990902270676387
136,Titulcia,176,5.6499659878467944e-5,0.9991467267275173
137,Valdemanco,170,5.457353510988381e-5,0.9992013002626271
138,Orusco de Tajuña,167,5.361047272559175e-5,0.9992549107353527
139,Cenicientos,150,4.815311921460336e-5,0.9993030638545674
140,Estremera,139,4.4621890472199116e-5,0.9993476857450395
141,Pezuela de las Torres,125,4.0127599345502804e-5,0.999387813344385
142,Santorcaz,119,3.8201474576918666e-5,0.9994260148189619
143,Puentes Viejas,115,3.691739139786258e-5,0.9994629322103598
144,Ribatejada,108,3.4670245834514426e-5,0.9994976024561943
145,Corpa,101,3.2423100271166266e-5,0.9995300255564654
146,Valdepiélagos,95,3.0496975502582132e-5,0.999560522531968
147,Valdaracete,94,3.017595470781811e-5,0.9995906984866758
148,Valdelaguna,92,2.9533913118290063e-5,0.9996202323997941
149,Valdemaqueda,89,2.8570850733997997e-5,0.9996488032505282
150,El Berrueco,81,2.6002684375885816e-5,0.999674805934904
